HESAP_KOD;HESAP_ADI
399;DİĞER ÇEŞİTLİ KISA VADELİ YABANCI KAYNAKLAR HESABI
400;BANKA KREDİLERİ HESABI
403;KAMU İDARELERİNE MALİ BORÇLAR HESABI
404;TAHVİLLER HESABI
407;FİNANSAL KİRALAMA İŞLEMLERİNDEN BORÇLAR HESABI
408;ERTELENMİŞ FİNANSAL KİRALAMA BORÇLANMA MALİYETLERİ HESABI
409;UZUN VADELİ DİĞER İÇ MALİ BORÇLAR HESABI
410;DIŞ MALİ BORÇLAR HESABI
429;DİĞER FAALİYET BORÇLARI HESABI
430;ALINAN DEPOZİTO VE TEMİNATLAR HESABI
438;KAMUYA OLAN ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ BORÇLAR HESABI
440;ALINAN SİPARİŞ AVANSLARI HESABI
449;ALINAN DİĞER AVANSLAR HESABI
472;KIDEM TAZMİNATI KARŞILIĞI HESABI
479;DİĞER BORÇ VE GİDER KARŞILIKLARI HESABI
480;GELECEK YILLARA AİT GELİRLER HESABI
481;GİDER TAHAKKUKLARI HESABI
499;DİĞER UZUN VADELİ YABANCI KAYNAKLAR HESABI
500;NET DEĞER HESABI
511;MUHASEBE BİRİMLERİ ARASI İŞLEMLER HESABI
519;DEĞER HAREKETLERİ SONUÇ HESABI
570;GEÇMİŞ YILLAR OLUMLU FAALİYET SONUÇLARI HESABI
580;GEÇMİŞ YILLAR OLUMSUZ FAALİYET SONUÇLARI HESABI 
590;DÖNEM OLUMLU FAALİYET SONUCU HESABI 
591;DÖNEM OLUMSUZ FAALİYET SONUCU HESABI 
600;GELİRLER HESABI
630;GİDERLER HESABI
690;FAALİYET SONUÇLARI HESABI
698;ENFLASYON DÜZELTMESİ HESABI
800;BÜTÇE GELİRLERİ HESABI
805;GELİR YANSITMA HESABI
810;BÜTÇE GELİRLERİNDEN RET VE İADELER HESABI
830;BÜTÇE GİDERLERİ HESABI
834;GEÇEN YIL BÜTÇE MAHSUPLARI HESABI
835;GİDER YANSITMA HESAPLARI
895;BÜTÇE UYGULAMA SONUÇLARI HESABI
900;GÖNDERİLECEK BÜTÇE ÖDENEKLERİ HESABI
901;BÜTÇE ÖDENEKLERİ HESABI
902;BÜTÇE ÖDENEK HAREKETLERİ HESABI
903;KULLANILACAK ÖDENEKLER HESABI
904;ÖDENEKLER HESABI
905;ÖDENEKLİ GİDERLER HESABI
906;MAHSUP DÖNEMİNE AKTARILAN KULLANILACAK ÖDENEKLER HESABI
907;MAHSUP DÖNEMİNE AKTARILAN ÖDENEKLER HESABI
910;ALINAN TEMİNAT MEKTUPLARI HESABI
911;ALINAN TEMİNAT MEKTUPLARI EMANETLERİ HESABI
912;KİŞİLERE AİT MENKUL KIYMETLER HESABI
913;KİŞİLERE AİT MENKUL KIYMET EMANETLERİ HESABI
914;VERİLEN TEMİNAT MEKTUPLARI HESABI
915;VERİLEN TEMİNAT MEKTUPLARI KARŞILIĞI HESABI
920;GİDER TAAHHÜTLERİ HESABI
921;GİDER TAAHHÜTLERİ KARŞILIĞI HESABI
922;KAMU-ÖZEL İŞ BİRLİĞİ MODELİ TAAHHÜTLERİ HESABI
923;KAMU-ÖZEL İŞBİRLİĞİ MODELİ TAAHHÜTLERİ KARŞILIĞI HESABI
930;VERİLEN GARANTİLER Hesabı
931;VERİLEN GARANTİLER KARŞILIĞI HESABI
934;BORÇ ÜSTLENİM TAAHHÜTLERİ HESABI
935;BORÇ ÜSTLENİM TAAHHÜTLERİ KARŞILIĞI HESABI
948;BAŞKA BİRİMLER ADINA İZLENEN ALACAKLAR HESABI
949;BAŞKA BİRİMLER ADINA İZLENEN ALACAK EMANETLERİ HESABI
990;KİRAYA VERİLEN, İRTİFAK HAKKI TESİS EDİLEN MADDİ DURAN VARLIKLARIN KAYITLI DEĞERİ 
993;MADDİ DURAN VARLIKLARIN KİRA VE İRTİFAK HAKKI GELİRLERİ 
999;DİĞER NAZIM HESAPLAR KARŞILIĞI HESABI
